This is temperature chart for a Honeywell 135-103LAF-J01 10K thermistor.  
Because the Raspberry PI has no analog read I'm using a 555 timer in astable mode and measuring the output 
pulse high time(poor mans AD converter). In practice we want a much smaller Cap for quicker read times

C: 4.7 uF  R1: Thermistor + 1K Ohm(555 resistors should stay above 1K)  R2: 10K Ohms		
Thermistor Resistance (ohms)	Temp( C )	555 Output Time Pulse High(mS)
12490	20	76.509
10000	25	68.399
8057	30	62.071
5327	40	53.179
3603	50	49.563
2488	60	48.932
1752	70	47.535
1258	80	46.926
917.7	90	45.815
680	100	44.043
511.2	110	43.492
389.3	120	42.096
341.7	125	41.641
300.9	130	40.405
234.8	140	39.690
185.3	150	38.232
147.9	160	36.710
147.9	165	34.210
122.4 	170	32.827
122.4 	175	31.227
96.8	180	30.800
96.8	185	29.200
81.2	190	28.800
81.2	195	27.200
65.59	200	26.800
65.59	205	25.200
55.7	210	24.750
55.7	215	23.350
45.81	220	22.877
45.81	230	21.300
32.86	240	20.900
24.15	260	19.355
18.14	280	15.887	
10.00	380	10.00
